date,state
12/29/2023,1
12/28/2023,3
12/27/2023,3
12/26/2023,2
12/22/2023,1
12/21/2023,0
12/20/2023,1
12/19/2023,3
12/18/2023,3
12/15/2023,1
12/14/2023,2
12/13/2023,3
12/12/2023,1
12/11/2023,3
12/08/2023,3
12/07/2023,3
12/06/2023,3
12/05/2023,3
12/04/2023,3
12/01/2023,2
11/30/2023,0
11/29/2023,1
11/28/2023,3
11/27/2023,3
11/24/2023,3
11/22/2023,3
11/21/2023,1
11/20/2023,2
11/17/2023,3
11/16/2023,0
11/15/2023,3
11/14/2023,1
11/13/2023,3
11/10/2023,3
11/09/2023,2
11/08/2023,3
11/07/2023,1
11/06/2023,2
11/03/2023,3
11/02/2023,1
11/01/2023,1
10/31/2023,2
10/30/2023,1
10/27/2023,3
10/26/2023,4
10/25/2023,4
10/24/2023,2
10/23/2023,3
10/20/2023,4
10/19/2023,3
10/18/2023,4
10/17/2023,3
10/16/2023,1
10/13/2023,3
10/12/2023,3
10/11/2023,2
10/10/2023,2
10/09/2023,2
10/06/2023,1
10/05/2023,3
10/04/2023,2
10/03/2023,4
10/02/2023,2
09/29/2023,3
09/28/2023,2
09/27/2023,2
09/26/2023,4
09/25/2023,2
09/22/2023,3
09/21/2023,4
09/20/2023,3
09/19/2023,3
09/18/2023,2
09/15/2023,4
09/14/2023,2
09/13/2023,2
09/12/2023,3
09/11/2023,2
09/08/2023,2
09/07/2023,3
09/06/2023,3
09/05/2023,3
09/01/2023,2
08/31/2023,3
08/30/2023,2
08/29/2023,1
08/28/2023,2
08/25/2023,2
08/24/2023,4
08/23/2023,1
08/22/2023,3
08/21/2023,2
08/18/2023,3
08/17/2023,3
08/16/2023,3
08/15/2023,4
08/14/2023,2
08/11/2023,3
08/10/2023,2
08/09/2023,3
08/08/2023,3
08/07/2023,2
08/04/2023,3
08/03/2023,3
08/02/2023,4
08/01/2023,3
07/31/2023,2
07/28/2023,2
07/27/2023,3
07/26/2023,3
07/25/2023,2
07/24/2023,2
07/21/2023,2
07/20/2023,3
07/19/2023,2
07/18/2023,2
07/17/2023,2
07/14/2023,3
07/13/2023,2
07/12/2023,2
07/11/2023,2
07/10/2023,2
07/07/2023,3
07/06/2023,3
07/05/2023,3
07/03/2023,2
06/30/2023,1
06/29/2023,2
06/28/2023,3
06/27/2023,1
06/26/2023,3
06/23/2023,3
06/22/2023,2
06/21/2023,3
06/20/2023,3
06/16/2023,3
06/15/2023,1
06/14/2023,2
06/13/2023,2
06/12/2023,2
06/09/2023,2
06/08/2023,2
06/07/2023,3
06/06/2023,2
06/05/2023,3
06/02/2023,1
06/01/2023,2
05/31/2023,3
05/30/2023,2
05/26/2023,1
05/25/2023,2
05/24/2023,3
05/23/2023,4
05/22/2023,2
05/19/2023,3
05/18/2023,2
05/17/2023,1
05/16/2023,3
05/15/2023,2
05/12/2023,3
05/11/2023,3
05/10/2023,2
05/09/2023,3
05/08/2023,2
05/05/2023,1
05/04/2023,3
05/03/2023,3
05/02/2023,4
05/01/2023,3
04/28/2023,2
04/27/2023,1
04/26/2023,3
04/25/2023,4
04/24/2023,2
04/21/2023,2
04/20/2023,3
04/19/2023,3
04/18/2023,2
04/17/2023,2
04/14/2023,3
04/13/2023,1
04/12/2023,3
04/11/2023,2
04/10/2023,2
04/06/2023,2
04/05/2023,3
04/04/2023,3
04/03/2023,2
03/31/2023,1
03/30/2023,2
03/29/2023,1
03/28/2023,3
03/27/2023,2
03/24/2023,2
03/23/2023,2
03/22/2023,4
03/21/2023,1
03/20/2023,2
03/17/2023,4
03/16/2023,1
03/15/2023,3
03/14/2023,1
03/13/2023,3
03/10/2023,4
03/09/2023,4
03/08/2023,2
03/07/2023,4
03/06/2023,2
03/03/2023,1
03/02/2023,2
03/01/2023,3
02/28/2023,3
02/27/2023,2
02/24/2023,4
02/23/2023,2
02/22/2023,3
02/21/2023,4
02/17/2023,3
02/16/2023,4
02/15/2023,2
02/14/2023,3
02/13/2023,1
02/10/2023,2
02/09/2023,3
02/08/2023,4
02/07/2023,1
02/06/2023,3
02/03/2023,4
02/02/2023,1
02/01/2023,1
01/31/2023,1
01/30/2023,4
01/27/2023,2
01/26/2023,1
01/25/2023,3
01/24/2023,3
01/23/2023,1
01/20/2023,1
01/19/2023,3
01/18/2023,4
01/17/2023,3
01/13/2023,2
01/12/2023,2
01/11/2023,1
01/10/2023,2
01/09/2023,3
01/06/2023,1
01/05/2023,4
01/04/2023,2
01/03/2023,3
